Origin,Destination,OriginLat,OriginLon,DestLat,DestLon,TRIP_TYPE,Direction,Commute_SOV,Commute_Carpool,Commute_Transit,Commute_Walk,Commute_Bicycle,Commute_Taxi,Commute_WorkAtHome,Commute_Other,Commute_Total
2502513035250C,16,42.3578051316514,-71.0606317691638,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,6,72,5,1,0,0,0,111
2502513035250D,16,42.3567093957102,-71.0602383704509,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,6,72,5,1,0,0,0,111
2502513035250E,16,42.3576897728147,-71.0593122027017,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,27,6,72,5,1,0,0,0,111
2502513035251A,16,42.3581854685516,-71.0613220984585,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,11,3,36,5,0,0,0,0,55
2502513035251B,16,42.3573660201768,-71.0610740429593,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,11,3,36,5,0,0,0,0,55
2502513035251C,16,42.358261002992,-71.0616047259007,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,11,3,36,5,0,0,0,0,55
2502513035251D,16,42.3565715407765,-71.0599228721877,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,11,3,36,5,0,0,0,0,55
2502513035251E,16,42.3580012202262,-71.0604413722719,42.3548557399861,-71.054829333957,Outside_to_Downtown,Outbound,11,3,36,5,0,0,0,0,55
2502513035030A,18,42.3613032252968,-71.055855733886,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,43,3,74,9,2,0,0,1,132
2502513035030B,18,42.3602297100834,-71.0571507525239,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,43,3,74,9,2,0,0,1,132
2502513035030C,18,42.361693756478,-71.0573003877846,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,43,3,74,9,2,0,0,1,132
2502513035030D,18,42.3610462741794,-71.0569576500934,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,43,3,74,9,2,0,0,1,132
2502513035030E,18,42.3612384100877,-71.0574635757995,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,43,3,74,9,2,0,0,1,132
2502513035031A,18,42.3612968692389,-71.0608577036591,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,32,6,57,6,0,0,0,1,102
2502513035031A,18,42.3612968692389,-71.0608577036591,42.3572972963592,-71.0523371887983,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035031B,18,42.3608502523351,-71.060867565682,42.3572972963592,-71.0523371887983,Outside_to_Downtown,Outbound,32,6,57,6,0,0,0,1,102
