STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
4500,American Legion Hwy @ Revere St,REVERE,248,434,64,42.416633084236,-71.0033382181644
63241,37 Riverside Ave @ Medford Sq,MEDFORD,176,326,10,42.4177429676324,-71.1079993445673
63242,Clippership Rd opp City Hall,MEDFORD,176,326,11,42.4180987703124,-71.105187805117
5002,Salem St opp River St,MEDFORD,176,326,15,42.4185191910149,-71.1078947698937
15002,High St @ Bradlee Rd,MEDFORD,176,326,16,42.4186956145915,-71.1114887136836
6324,High St opp Governors Ave,MEDFORD,176,326,9,42.4187507338242,-71.1117413754517
4513,American Legion Hwy @ Hutchinson St,REVERE,248,424,5,42.4188583144341,-71.00200392587
4499,American Legion Hwy @ Hutchinson St,REVERE,248,434,63,42.4189057947297,-71.0021453354309
5003,High St @ Hillside Ave,MEDFORD,176,326,17,42.4190960625448,-71.1129664481188
5321,Salem St @ Hadley Pl,MEDFORD,176,325,6,42.4196100772654,-71.1015768068023
6323,High St opp Powder House Rd,MEDFORD,176,326,8,42.4201161920378,-71.1148796128613
5004,High St @ Powder House Rd,MEDFORD,176,326,18,42.4201707274993,-71.1149836263927
4498,462 American Legion Hwy,REVERE,248,434,62,42.4206683688011,-71.0033379793514
6298,High St @ Essex St,MEDFORD,176,326,20,42.420803931789,-71.119905515235
5322,Salem St @ Park St,MEDFORD,176,325,7,42.420846427856,-71.0986976120334
4515,Brown Circle Rotary,REVERE,248,424,6,42.4208892899219,-71.0035281923654
6303,High St @ Warren St - W Medford Sq,MEDFORD,176,326,25,42.4210708212438,-71.1311935891548
6322,High St @ Winthrop St - Winthrop Circle,MEDFORD,176,326,7,42.4211779410322,-71.1174079147832
5005,High St @ Rural Ave - Winthrop Circle,MEDFORD,176,326,19,42.4212424436451,-71.1175861267975
5008,300 Winthrop St,MEDFORD,176,326,6,42.4214520747665,-71.1181362741523
5323,Salem St @ Dudley St,MEDFORD,176,325,8,42.4214951505551,-71.0971207890927
6302,High St @ Allston St,MEDFORD,176,326,24,42.4215243821585,-71.128659720587
6301,High St @ Mystic St,MEDFORD,176,326,23,42.4217186822127,-71.1262392213279
4497,Broadway @ Ward St,REVERE,248,434,61,42.4217228891549,-71.0044539811521
6300,High St @ Wolcott St,MEDFORD,176,326,22,42.421738210594,-71.1247712233052
6304,Playstead Rd @ Irving St - W Medford Sta,MEDFORD,176,326,26,42.4217711493953,-71.133056039429
